Repo Name,URL,Languages,Lang Used,,Laguage,Percentage,Count
facebookresearch/personal-timeline,https://github.com/facebookresearch/personal-timeline,"Jupyter Notebook: 98.6%,
Python: 1.1%,
JavaScript: 0.3%,
HTML: 0.0%,
CSS: 0.0%,
Dockerfile: 0.0%,
Shell: 0.0%",Multi-language,,,,
faizanahemad/science-reader,https://github.com/faizanahemad/science-reader,"Python: 36.7%,
Jupyter Notebook: 30.7%,
JavaScript: 28.8%,
CSS: 2.0%,
HTML: 1.8%,
Shell: 0.0%",Multi-language,,,,
friedcheesee/InnerVerse,https://github.com/friedcheesee/InnerVerse,Python: 100.0%,Python,,,,
langchain-ai/langchain-teacher,https://github.com/langchain-ai/langchain-teacher,Python: 100.0%,Python,,,,
tehmasta/chatgpt-wrapper,https://github.com/tehmasta/chatgpt-wrapper,"Python: 99.1%,
Shell: 0.6%,
Mako: 0.2%,
Dockerfile: 0.1%",Multi-language,,,,
linancn/TianGong-AI-Agent,https://github.com/linancn/TianGong-AI-Agent,"Python: 98.9%,
Dockerfile: 0.4%,
Batchfile: 0.4%,
Makefile: 0.3%,
CSS: 0.0%",Multi-language,,,,
santiago-visanto/langchain-experiments,https://github.com/santiago-visanto/langchain-experiments,"JavaScript: 51.5%,
TypeScript: 42.5%,
Python: 2.6%,
CSS: 1.7%,
SCSS: 1.0%,
HTML: 0.5%,
Dockerfile: 0.1%,
Shell: 0.0%,
Batchfile: 0.0%",Multi-language,,,,
satelerd/GPT3-Models,https://github.com/satelerd/GPT3-Models,Python: 100.0%,Python,,,,
shadhav/bedrockDemo,https://github.com/shadhav/bedrockDemo,"HTML: 66.1%,
Python: 33.9%",Multi-language,,,,
skypointcloud/spc-langchain,https://github.com/skypointcloud/spc-langchain,"Python: 99.7%,
Makefile: 0.1%,
HTML: 0.1%,
Dockerfile: 0.0%,
TeX: 0.0%,
JavaScript: 0.0%",Multi-language,,,,
arnaudsoullie/otsecgpt,https://github.com/arnaudsoullie/otsecgpt,"Jupyter Notebook: 81.6%,
Python: 18.4%",Multi-language,,,,
theoracley/function-python-ai-langchain,https://github.com/theoracley/function-python-ai-langchain,"Bicep: 96.0%,
Python: 4.0%",Multi-language,,,,
ueda-keisuke/ResumeOptimizer,https://github.com/ueda-keisuke/ResumeOptimizer,Python: 100.0%,Python,,,,
umd123/research3,https://github.com/umd123/research3,"Python: 99.7%,
Makefile: 0.1%,
HTML: 0.1%,
Dockerfile: 0.0%,
TeX: 0.0%,
Shell: 0.0%,
JavaScript: 0.0%",Multi-language,,,,
wbsg-uni-mannheim/ExtractGPT,https://github.com/wbsg-uni-mannheim/ExtractGPT,"Python: 94.0%,
Shell: 6.0%",Multi-language,,,,
while-basic/chatarena,https://github.com/while-basic/chatarena,"Python: 98.3%,
Jupyter Notebook: 1.7%",Multi-language,,,,
xiaojingyi/chatgpt-wrapper,https://github.com/xiaojingyi/chatgpt-wrapper,"Python: 99.0%,
Shell: 0.8%,
Dockerfile: 0.2%",Multi-language,,,,
xpluscal/selfhealing-action-express,https://github.com/xpluscal/selfhealing-action-express,"Python: 93.0%,
TypeScript: 7.0%",Multi-language,,,,
yasyf/compress-gpt,https://github.com/yasyf/compress-gpt,"Python: 99.7%,
Shell: 0.3%",Multi-language,,,,
yasyf/summ,https://github.com/yasyf/summ,"Python: 98.5%,
CSS: 1.3%,
Shell: 0.2%",Multi-language,,,,
yeoshuheng/travel-gpt,https://github.com/yeoshuheng/travel-gpt,"Python: 33.9%,
CSS: 25.2%,
HTML: 25.0%,
JavaScript: 13.9%,
Dockerfile: 0.9%,
Shell: 0.6%,
Batchfile: 0.5%",Multi-language,,,,
yeyu2/Youtube_demos,https://github.com/yeyu2/Youtube_demos,"Jupyter Notebook: 55.9%,
Python: 21.5%,
JavaScript: 7.9%,
HTML: 5.3%,
TypeScript: 4.9%,
Kotlin: 3.3%,
CSS: 1.1%",Multi-language,,,,
yongchao98/NL2TL,https://github.com/yongchao98/NL2TL,"Python: 70.4%,
Jupyter Notebook: 29.6%",Multi-language,,,,
royca/yt-gpt,https://github.com/royca/yt-gpt,Python: 100.0%,Python,,,,
leemthompo/langchain,https://github.com/leemthompo/langchain,"Python: 99.2%,
Jupyter Notebook: 0.6%,
Dockerfile: 0.1%,
TeX: 0.0%,
Makefile: 0.0%,
HTML: 0.0%,
JavaScript: 0.0%",Multi-language,,,,
robocorp/product_hour_remark_oct_examples,https://github.com/robocorp/product_hour_remark_oct_examples,Python: 100.0%,Python,,,,
rheaton64/VoiceAssistantGUI,https://github.com/rheaton64/VoiceAssistantGUI,"Python: 60.8%,
Jupyter Notebook: 38.0%,
PowerShell: 0.8%,
Batchfile: 0.4%",Multi-language,,,,
lordlinus/Enterprise-ChatGPT,https://github.com/lordlinus/Enterprise-ChatGPT,"Python: 42.3%,
TypeScript: 32.3%,
Bicep: 15.9%,
CSS: 6.8%,
Shell: 1.5%,
PowerShell: 1.0%,
HTML: 0.2%",Multi-language,,,,
mbchang/data-driven-characters,https://github.com/mbchang/data-driven-characters,"Jupyter Notebook: 67.9%,
Python: 32.1%",Multi-language,,,,
mbchang/panel_simulation,https://github.com/mbchang/panel_simulation,Python: 100.0%,Python,,,,
mcantillon21/quotifyai,https://github.com/mcantillon21/quotifyai,"JavaScript: 59.2%,
Python: 16.9%,
TypeScript: 13.2%,
CSS: 9.9%,
Shell: 0.5%,
Makefile: 0.4%",Multi-language,,,,
metagov/d20-governance,https://github.com/metagov/d20-governance,"Python: 95.6%,
HTML: 4.4%",Multi-language,,,,
microsoft/PodcastCopilot,https://github.com/microsoft/PodcastCopilot,Python: 100.0%,Python,,,,
nasa-petal/bidara,https://github.com/nasa-petal/bidara,Python: 100.0%,Python,,,,
nealm682/DIY-Shopping-List-Builder,https://github.com/nealm682/DIY-Shopping-List-Builder,Python: 100.0%,Python,,,,
nicknochnack/Nopenai,https://github.com/nicknochnack/Nopenai,"Python: 66.7%,
Jupyter Notebook: 33.3%",Multi-language,,,,
nshuklaDS/LLMStack,https://github.com/nshuklaDS/LLMStack,"Python: 54.1%,
JavaScript: 35.3%,
CSS: 9.8%,
MDX: 0.3%,
Shell: 0.2%,
Dockerfile: 0.1%,
HTML: 0.1%,
Batchfile: 0.0%",Multi-language,,,,
nullzero-live/Gavin-A-GoodMidi,https://github.com/nullzero-live/Gavin-A-GoodMidi,Python: 100.0%,Python,,,,
pareenakaur/HackOverflow,https://github.com/pareenakaur/HackOverflow,"Python: 86.5%,
JavaScript: 10.5%,
SCSS: 2.3%,
PHP: 0.3%,
PowerShell: 0.2%,
HTML: 0.2%,
Batchfile: 0.0%",Multi-language,,,,
paulburkhardt/langfuse-python,https://github.com/paulburkhardt/langfuse-python,Python: 100.0%,Python,,,,
pavelerokhin/prompt-engineering,https://github.com/pavelerokhin/prompt-engineering,"Python: 65.3%,
Jupyter Notebook: 34.7%",Multi-language,,,,
pedromartinez3/AI-Integration-Showcase,https://github.com/pedromartinez3/AI-Integration-Showcase,Python: 100.0%,Python,,,,
pinecone-io/genqa-rag-demo,https://github.com/pinecone-io/genqa-rag-demo,"Jupyter Notebook: 64.5%,
Python: 35.5%",Multi-language,,,,
rajib76/langchain_examples,https://github.com/rajib76/langchain_examples,Python: 100.0%,Python,,,,
rbrands/OpenAI_Document_Analyzer_Demo,https://github.com/rbrands/OpenAI_Document_Analyzer_Demo,Python: 100.0%,Python,,,,
rishabhranawat/junto,https://github.com/rishabhranawat/junto,"Python: 37.8%,
JavaScript: 35.1%,
CSS: 17.8%,
HTML: 9.1%,
Procfile: 0.2%",Multi-language,,,,
arm-diaz/ragas,https://github.com/arm-diaz/ragas,"Jupyter Notebook: 66.6%,
Python: 32.8%,
Makefile: 0.6%,
Dockerfile: 0.1%",Multi-language,,,,
parajbs/genai-stack,https://github.com/parajbs/genai-stack,"Python: 88.4%,
Dockerfile: 11.0%,
Shell: 0.6%",Multi-language,,,,
Mr-Sure/langchain,https://github.com/Mr-Sure/langchain,"Python: 99.7%,
HTML: 0.1%,
Makefile: 0.1%,
Dockerfile: 0.1%",Multi-language,,,,
CorneliaMelon/Med-Xplain,https://github.com/CorneliaMelon/Med-Xplain,"Jupyter Notebook: 88.2%,
Python: 11.8%",Multi-language,,,,
Soham-Dutta2023/ELI5,https://github.com/Soham-Dutta2023/ELI5,Python: 100.0%,Python,,,,
Chryron/ai-copilot,https://github.com/Chryron/ai-copilot,Python: 100.0%,Python,,,,
SimonB97/BG3Chat,https://github.com/SimonB97/BG3Chat,Python: 100.0%,Python,,,,
GoldenWind8/swarms,https://github.com/GoldenWind8/swarms,Python: 100.0%,Python,,,,
Ryguy-1/paperbox,https://github.com/Ryguy-1/paperbox,Python: 100.0%,Python,,,,
RohanDey02/langchain,https://github.com/RohanDey02/langchain,"Python: 64.7%,
Jupyter Notebook: 34.6%,
MDX: 0.3%,
Makefile: 0.1%,
Shell: 0.1%,
XSLT: 0.1%,
HTML: 0.1%,
Dockerfile: 0.0%,
TeX: 0.0%,
JavaScript: 0.0%",Multi-language,,,,
ChangweiZhang/langchain-azure-openai,https://github.com/ChangweiZhang/langchain-azure-openai,"Python: 99.7%,
HTML: 0.1%,
Makefile: 0.1%,
Dockerfile: 0.1%",Multi-language,,,,
Pastorio/Langchain-Generate-Docstring-API,https://github.com/Pastorio/Langchain-Generate-Docstring-API,"Jupyter Notebook: 62.2%,
Python: 37.8%",Multi-language,,,,
JBX2060/GPT3Discord,https://github.com/JBX2060/GPT3Discord,"Python: 99.6%,
Dockerfile: 0.4%",Multi-language,,,,
CurryTang/Graph-LLM,https://github.com/CurryTang/Graph-LLM,Python: 100.0%,Python,,,,
NicoManke/QuestGPT,https://github.com/NicoManke/QuestGPT,"Python: 99.9%,
Batchfile: 0.1%",Multi-language,,,,
AAAATTIEH/auto-chain,https://github.com/AAAATTIEH/auto-chain,"Python: 96.7%,
CSS: 2.1%,
HTML: 1.2%",Multi-language,,,,
CSchnelle/bjork-album-generator,https://github.com/CSchnelle/bjork-album-generator,"HTML: 64.1%,
Python: 35.9%",Multi-language,,,,
